index,red,green,blue
3,50,3,82
4,50,3,82
5,186,86,165
6,183,25,245
7,138,22,215
8,183,25,245
9,186,86,165
10,50,3,82
11,50,3,82
17,101,5,165
18,151,8,247
19,50,3,82
20,255,242,0
21,252,181,80
22,202,56,211
23,252,181,80
24,255,242,0
25,50,3,82
26,151,8,247
27,101,5,165
30,50,3,82
31,151,8,247
32,101,5,165
36,170,161,0
37,255,242,0
38,170,161,0
42,101,5,165
43,151,8,247
44,50,3,82
45,151,8,247
46,50,3,82
52,85,81,0
58,50,3,82
59,151,8,247
60,101,5,165
61,151,8,247
62,50,3,82
63,50,3,82
71,50,3,82
72,50,3,82
73,151,8,247
74,101,5,165
76,50,3,82
77,50,3,82
78,151,8,247
79,101,5,165
85,101,5,165
86,151,8,247
87,50,3,82
88,50,3,82
95,101,5,165
96,101,5,165
97,101,5,165
98,101,5,165
99,101,5,165
